K7 PREMIER  2.5,"245,700원","702,000원",가솔린,5인승,601,목,604,일,1,3박 4일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045181&fileSn=0
더 뉴 그랜저 2.5 ,"245,700원","702,000원",가솔린,5인승,601,목,604,일,1,3박 4일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045180&fileSn=0
더 뉴 K3 ,"253,500원","390,000원",가솔린,5인승,601,목,604,일,1,3박 4일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000565796&fileSn=0
K8 2.5 ,"262,500원","750,000원",가솔린,5인승,601,목,604,일,1,3박 4일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000554962&fileSn=0
캐스퍼 ,"264,000원","330,000원",가솔린,4인승,601,목,604,일,1,3박 4일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001219244&fileSn=0
XM3 1.4 ,"270,000원","450,000원",가솔린,5인승,601,목,604,일,1,3박 4일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045174&fileSn=0
THE NEW G70 2.0 ,"302,400원","672,000원",가솔린,5인승,601,목,604,일,1,3박 4일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001219247&fileSn=0
G70 SHOOTING BRAKE  2.0,"310,500원","690,000원",가솔린,5인승,601,목,604,일,1,3박 4일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001707217&fileSn=0
THE K9 3.8 ,"342,000원","1,140,000원",가솔린,5인승,601,목,604,일,1,3박 4일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004382&fileSn=0
TESLA MODEL 3 ,"346,500원","990,000원",전기,5인승,601,목,604,일,1,3박 4일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000005298&fileSn=0
쏘렌토 MQ4 7인승 4WD ,"396,000원","660,000원",디젤,7인승,601,목,604,일,1,3박 4일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045177&fileSn=0
All New G80 ,"451,500원","1,290,000원",전기,5인승,601,목,604,일,1,3박 4일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001842759&fileSn=0
